GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS
49,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,6,2,11:49,11.7,2,2.1,5.7,2,made,"Brown, Jabari",203913,0.6,1,2
50,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,7,2,9:59,24.0,0,0.4,1.6,2,made,"Davis, Ed",202334,1.9,1,2
51,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,8,3,10:46,13.8,0,2.3,17.0,2,missed,"Johnson, Wesley",202325,3.3,0,0
52,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,9,3,8:27,10.6,2,2.4,4.6,2,made,"Johnson, Wesley",202325,2.7,1,2
53,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,10,3,4:08,15.7,5,7.8,18.7,2,made,"Johnson, Wesley",202325,4.3,1,2
54,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,11,4,8:17,12.8,2,2.5,20.8,2,missed,"Johnson, Wesley",202325,4.0,0,0
55,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,12,4,7:04,17.4,2,2.7,5.7,2,missed,"Brown, Jabari",203913,2.8,0,0
56,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,13,4,5:38,15.6,0,3.0,19.0,2,made,"Johnson, Wesley",202325,4.1,1,2
57,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,14,4,3:24,16.1,2,3.3,18.7,2,missed,"Kelly, Ryan",203527,3.6,0,0
58,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,15,4,2:33,20.1,7,5.3,3.4,2,made,"Kelly, Ryan",203527,1.9,1,2
59,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,1,1,11:02,13.4,4,3.4,18.1,2,missed,"Batum, Nicolas",201587,2.3,0,0
60,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,2,1,8:26,15.1,1,1.1,7.7,2,missed,"Batum, Nicolas",201587,1.0,0,0
61,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,3,1,7:13,12.0,2,3.3,13.2,2,made,"Lillard, Damian",203081,0.5,1,2
62,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,4,1,6:49,24.0,1,0.5,3.3,2,made,"Batum, Nicolas",201587,2.4,1,2
63,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,5,1,3:32,6.1,2,4.0,7.7,2,made,"Batum, Nicolas",201587,2.5,1,2
64,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,6,1,1:35,10.5,1,1.9,25.4,3,missed,"Aldridge, LaMarcus",200746,6.3,0,0
